STATISTIQUES DISCORD (depuis 2025-01-01 jusqu'à 2025-12-28)
Total messages analysés: 32543

MESSAGES PAR JOUR
hinata.exedetemu : 2
pandarouxsuperieur_ : 2
djaxx38 : 2
sylwalker_4557 : 2
yafoux : 1
kevin79763 : 1
accountnoverrified : 1
anarayeh : 1
.nekona : 1
norazox : 1
the_wyter : 1
r4gde : 1
ronrongla : 1
and_ocelot : 1
lilyaa.9 : 1
zorde33 : 1
dreep_09 : 1
albiro036 : 1
takii1001 : 1
komafeu : 1
sukuna.gojo2535 : 1
selver_0ff : 1
anthony0358 : 1
angelobg : 1
djcreeper : 1
salutlastreet : 1
ines92100. : 1
.frozencat : 1
dayeetdude : 1
ryuuk.w2 : 1

TOP MEMBRES PAR MOIS

2025-01
djcreeperytb : 504
menthemis : 327
liaminou8 : 266
razeaur : 256
shadow_gw10 : 138
Deleted User : 116
shrimpcr4cot : 76
theolympe : 57
sahran.ch : 57
serial_designation_m2 : 36
w3ryoff : 24
xtoas : 22
noise_maker666 : 18
tom_16 : 18
foxidu44 : 11
fayklord : 7
ttiminuitcat : 5
sc2mc1 : 4
rorolepeorll_1 : 4
zafarin_64987 : 3
miloory : 2
_frust_ : 2
vulzee2_12403 : 2
ms_bubu : 2
yafoux : 1
kevin79763 : 1
accountnoverrified : 1
pierroalbertosaureofficiel : 1
anarayeh : 1
dindon_mignon : 1
aw80904 : 1
dayeetdude : 1

2025-02
djcreeperytb : 317
liaminou8 : 208
rorolepeorll_1 : 183
menthemis : 182
shrimpcr4cot : 159
shadow_gw10 : 102
Deleted User : 70
sahran.ch : 47
razeaur : 37
tom_16 : 37
theolympe : 15
vulzee2_12403 : 15
xtoas : 14
aethernode : 8
the_akemi : 8
noise_maker666 : 7
voidspace4341 : 6
_frust_ : 6
s.e.l.e.n.a_ : 5
4e6f6973654d616b6572 : 4
scratcher42 : 3
zarix_youtube : 3
caporalchef_livai : 3
moirans38430 : 2
darckwolf13 : 2
serial_designation_m2 : 1
w3ryoff : 1
.nekona : 1
